study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Zhao2009	all	91.0	NA	species	91.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	all	91.0	NA	healthy	91.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	all	91.0	NA	ethnicity	91.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	all	91.0	NA	sex	91.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	all	91.0	NA	age	91.0	NA	NA	NA	NA	NA	NA	18.0	45.0	yr	NA
Zhao2009	all	91.0	NA	bmi	91.0	NA	NA	NA	NA	NA	NA	19.0	27.0	kg/m^2	NA
Zhao2009	single dose	50.0	all	species	50.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	healthy	50.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	ethnicity	50.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	pregnant	50.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	smoking	50.0	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	medication	50.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	sex	50.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	single dose	50.0	all	age	50.0	NA	NA	34.7	NA	NA	NA	30.0	39.0	yr	NA
Zhao2009	single dose	50.0	all	weight	50.0	NA	NA	62.1	NA	6.9	NA	NA	NA	kg	NA
Zhao2009	single dose	50.0	all	bmi	50.0	NA	NA	22.0	NA	1.7	NA	NA	NA	kg/m^2	NA
Zhao2009	SDP	10.0	single dose	species	10.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SDP	10.0	single dose	sex	10.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SDP	10.0	single dose	age	10.0	NA	NA	33.2	NA	NA	NA	30.0	38.0	yr	NA
Zhao2009	SDP	10.0	single dose	weight	10.0	NA	NA	63.8	NA	7.5	NA	NA	NA	kg	NA
Zhao2009	SDP	10.0	single dose	bmi	10.0	NA	NA	22.3	NA	1.7	NA	NA	NA	kg/m^2	NA
Zhao2009	SD2.5	8.0	single dose	species	8.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD2.5	8.0	single dose	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD2.5	8.0	single dose	age	8.0	NA	NA	34.6	NA	NA	NA	30.0	39.0	yr	NA
Zhao2009	SD2.5	8.0	single dose	weight	8.0	NA	NA	62.4	NA	7.4	NA	NA	NA	kg	NA
Zhao2009	SD2.5	8.0	single dose	bmi	8.0	NA	NA	21.9	NA	1.8	NA	NA	NA	kg/m^2	NA
Zhao2009	SD5	8.0	single dose	species	8.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD5	8.0	single dose	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD5	8.0	single dose	age	8.0	NA	NA	34.4	NA	NA	NA	30.0	39.0	yr	NA
Zhao2009	SD5	8.0	single dose	weight	8.0	NA	NA	66.0	NA	9.4	NA	NA	NA	kg	NA
Zhao2009	SD5	8.0	single dose	bmi	8.0	NA	NA	22.5	NA	1.9	NA	NA	NA	kg/m^2	NA
Zhao2009	SD10	8.0	single dose	species	8.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD10	8.0	single dose	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2009	SD10	8.0	single dose	age	8.0	NA	NA	35.1	NA	NA	NA	30.0	39.0	yr	NA
Zhao2009	SD10	8.0	single dose	weight	8.0	NA	NA	58.4	NA	4.9	NA	NA	NA	kg	NA
Zhao2009	SD10	8.0	single dose	bmi	8.0	NA	NA	20.9	NA	1.6	NA	NA	NA	kg/m^2	NA
