study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	timeraw	comments
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	0.0	hr	NA	1.00196078431373	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	0.524590163934426	hr	NA	1.03921568627451	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	0.983606557377048	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	1.50819672131148	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	2.0327868852459	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	2.49180327868852	hr	NA	1.01960784313725	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	3.01639344262295	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	4.0	hr	NA	1.03921568627451	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	6.0327868852459	hr	NA	1.04901960784314	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	8.0	hr	NA	1.03921568627451	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	12.0	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	15.0163934426229	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SDP	10.0	SDP	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SDP	24.0655737704918	hr	NA	1.02941176470588	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	0.0655737704918034	hr	NA	1.0	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	0.524590163934426	hr	NA	1.10980392156863	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	0.983606557377048	hr	NA	1.15882352941176	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	1.57377049180328	hr	NA	1.11960784313725	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	1.9672131147541	hr	NA	1.1	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	2.49180327868852	hr	NA	1.0921568627451	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	3.01639344262295	hr	NA	1.12156862745098	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	4.0655737704918	hr	NA	1.13137254901961	NA	NA	NA	dimensionless	NA	NA
Zhao2009	NA	SD2.5	8.0	SD2.5	prothrombin time (change relative)	NA	plasma	coagulation assay	prothrombin time (change relative)_SD2.5	6.0327868852459	hr	NA	1.11960784313725	NA	NA	NA	dimensionless	NA	NA
