study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	0.0	hr		0.998039215686274						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	0.524590163934426	hr		1.2						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	0.983606557377048	hr		1.29019607843137						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	1.50819672131148	hr		1.29019607843137						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	2.0327868852459	hr		1.28039215686275						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	2.49180327868852	hr		1.35098039215686						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	3.01639344262295	hr		1.33137254901961						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	4.0	hr		1.32156862745098						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	6.0327868852459	hr		1.25098039215686						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	8.0	hr		1.15098039215686						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	12.0	hr		1.10196078431373						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	15.0163934426229	hr		1.07058823529412						dimensionless	dimensionless
Zhao2009		SD10	8.0	SD10	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_SD10	24.0	hr		1.01960784313725						dimensionless	dimensionless
