study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.0	days		0.509198709564899						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.020402825006539	days		31.4935914203505						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.050832679396634	days		51.6383294097131						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.065480861452611	days		58.3555671810969						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.09346935216671	days		64.0474322085622						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.107768767983259	days		68.699973842532						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.13453657685936	days		67.1654023890487						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.174383119714011	days		63.0569360885866						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.254076205423315	days		54.8400034876624						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.333071758653762	days		42.4936786119104						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.492109163832941	days		23.995117272648						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	0.627430464731014	days		25.0972185892406						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	1.00366204551399	days		12.3881768244834						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	4.0	days								percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.0	days		36.1290322580645						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.01342281879195	days		48.5161290322581						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.04026845637584	days		62.4516129032258						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.05369127516779	days		69.1612903225806						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.08053691275168	days		70.7096774193549						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.09395973154362	days		68.6451612903226						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.12080536912752	days		67.0967741935484						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.16107382550336	days		64.0						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.25503355704698	days		54.7096774193548						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.33557046979866	days		44.9032258064516						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.49664429530201	days		25.2903225806452						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	5.61744966442953	days		21.6774193548387						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	6.00671140939597	days		6.70967741935482						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	6.48993288590604	days		-2.58064516129035						percent	percent
Zhao2009		MD30	8.0	MD30	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MD30	7.0	days		2.06451612903226						percent	percent
