study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.0	days		0.0003421422134001995				6.0		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.01342281879195	days		0.00042966696566536656				6.01342281879195		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.02684563758389	days		0.0009548154792563684				6.02684563758389		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.05369127516779	days		0.0012333033273728088				6.05369127516779		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.08053691275168	days		0.0013208280796379757				6.08053691275168		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.09395973154362	days		0.0012333033273728088				6.09395973154362		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.12080536912752	days		0.0011935193490704619				6.12080536912752		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.16107382550336	days		0.0010662106185029456				6.16107382550336		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.24161073825503	days		0.0007399819964236853				6.24161073825503		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.33557046979866	days		0.000437623761325835				6.33557046979866		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.49664429530201	days		0.00020687668717221365				6.49664429530201		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.61744966442953	days		0.00012730873056751604				6.61744966442953		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	5.99328859060403	days		3.97839783023488e-05				6.99328859060403		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	6.50335570469799	days		7.956795660470403e-06				7.50335570469799		mole/meter^3	µg/l
Zhao2009		MD30	8.0	MD30	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_MD30	7.0	days		0.0				8.0		mole/meter^3	µg/l
