study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.0	days		5.569756962328851e-05						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.16	days		0.00011935193490704664						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.192	days		0.00019096309585127393						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.256	days		0.00025461746113503256						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.288	days		0.00029440143943738184						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.384	days		0.0003182718264187895						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.576	days		0.00027053105245597177						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	0.768	days		0.00012730873056751604						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	1.184	days		6.365436528375791e-05						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	1.472	days		2.38703869814091e-05						mole/meter^3	µg/l
Zhao2009		SD10	8.0	SD10	concentration	rivaroxaban	plasma	HPLC MS	rivaroxaban_SD10	2.0	days		0.0						mole/meter^3	µg/l
