study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.0	days	NA	2.3943661971831	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.05	days	NA	7.04225352112675	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.05	days	NA	17.6056338028169	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.08	days	NA	17.6056338028169	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.11	days	NA	22.887323943662	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.14	days	NA	22.4647887323944	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.16	days	NA	20.1408450704225	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.24	days	NA	20.1408450704225	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.33	days	NA	15.4929577464789	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.5	days	NA	6.83098591549295	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	0.63	days	NA	4.92957746478872	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	1.0	days	NA	1.33802816901407	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	5.0	days	NA	NA	NA	NA	NA	percent
