study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Frost2014	all	14.0	mAPI	cmax	apixaban	plasma	LC MS/MS	12.0	hr	171.0	46.0	NA	NA	NA	78.66	NA	ng/ml	NA
Frost2014	all	14.0	mAPI	cmin	apixaban	plasma	LC MS/MS	NA	NA	10.1	39.0	NA	NA	NA	3.939	NA	ng/ml	NA
Frost2014	all	14.0	mAPI	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	2.0	1.0	3.0	NA	NA	ng*hr/ml	NA
Frost2014	all	14.0	mAPI	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	1094.0	29.0	NA	NA	NA	317.26	NA	hr	NA
Frost2014	all	14.0	mAPI	thalf	apixaban	plasma	LC MS/MS	NA	NA	7.89	3.0	NA	NA	NA	0.2367	NA	hr	NA
Frost2014	all	14.0	mRIV10	cmax	apixaban	plasma	LC MS/MS	12.0	hr	80.5	23.0	NA	NA	NA	18.515	NA	ng/ml	NA
Frost2014	all	14.0	mRIV10	cmin	apixaban	plasma	LC MS/MS	NA	NA	17.1	20.0	NA	NA	NA	3.42	NA	ng/ml	NA
Frost2014	all	14.0	mRIV10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	2.0	1.0	3.0	NA	NA	ng*hr/ml	NA
Frost2014	all	14.0	mRIV10	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	527.0	22.0	NA	NA	NA	115.94	NA	hr	NA
Frost2014	all	14.0	mRIV10	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	935.0	24.0	NA	NA	NA	224.4	NA	hr	NA
Frost2014	all	14.0	mRIV10	thalf	apixaban	plasma	LC MS/MS	NA	NA	8.65	2.19	NA	NA	NA	0.189435	NA	hr	NA
