study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	0.587290105915784	hr		0.0004464646732211182	279.001807710001	5.837980271802951e-05	0.00019362390095067452		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	1.17783518470681	hr		0.0005002571483577797	306.745960645375	6.135222871557447e-05	0.0002034823227016289		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	2.06132782226815	hr		0.0005396731002354663	324.699749559349	6.188704944556827e-05	0.00020525612239312194		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	3.09082924308964	hr		0.0005605308314261953	330.914898686867	5.9897413004560204e-05	0.00019865724484908004		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	4.26726943942136	hr		0.0005821946894189341	343.704370685391	6.221237763578692e-05	0.00020633511393380289		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	6.16910359080343	hr		0.0004138563589154905	239.735351847631	4.104978739288864e-05	0.0001361467425060728		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	8.07744768793594	hr		0.00038362964885680923	226.479542725108	4.0994040345479494e-05	0.0001359618504666468		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	12.0	hr		0.00023432499730264753	140.98399180257	2.6871234990356523e-05	8.91218041164816e-05		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	24.0	hr		0.00011618419130182826	71.241423515245	1.4248989947037879e-05	4.725855329587065e-05		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	36.0	hr		5.546343001271427e-05	32.1284054777316	5.50133388325484e-06	1.8245860337225153e-05		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	48.0	hr		3.8685993088361016e-05	24.1753998739419	5.05858756563038e-06	1.6777436924353264e-05		mole/meter^3	ng/ml
Greenblatt2018		MRI	11.0	VER120, VER240, VER360, RIV20	concentration	rivaroxaban	plasma	LC/MS	rivaroxaban_MRI_VER	72.0	hr		1.2169069155446638e-05	10.2997610297289	3.455542999322612e-06	1.146073957569244e-05		mole/meter^3	ng/ml
