study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	cv	unit	comments
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	144.0	hr	NA	1.61940477790129	1.9120563217408	0.29265154383951	0.0597372462370451	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	145.0	hr	NA	2.31192765148276	3.24851683096556	0.9365891794828	0.191180465695403	NA	dimensionless	thrombin generation lag time
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	146.0	hr	NA	3.16057315270635	3.69715255976448	0.53657940705813	0.109528812814797	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	147.0	hr	NA	3.3262890438904	3.92142156204065	0.59513251815025	0.121480916567147	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	148.0	hr	NA	3.28714233943703	3.87251057661377	0.58536823717674	0.119487791059625	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	150.0	hr	NA	3.04297016560188	3.56979343537373	0.52682326977185	0.10753734963047	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	156.0	hr	NA	2.47	NA	0.36062	0.0736112492535392	14.6	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	162.0	hr	NA	1.85110896660681	2.16330535976774	0.31219639316093	0.0637268218984669	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	168.0	hr	NA	1.79	NA	0.29893	0.0610188307341813	16.7	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	180.0	hr	NA	1.3	NA	0.1794	0.0366198716546085	13.8	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	192.0	hr	NA	1.19	NA	0.15351	0.0313350975345538	12.9	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGLT (ratio)	NA	plasma	coagulation assay	riv_TGLT ratio	204.0	hr	NA	1.09418581451124	1.24051158643099	0.14632577191975	0.0298686231185215	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	144.0	hr	NA	1.50231484309151	1.24861455521216	0.25370028787935	0.0517863544084673	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	145.0	hr	NA	1.57046936141277	1.3460537727667	0.22441558864607	0.0458086402090998	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	146.0	hr	NA	1.82398234448611	1.62881888032445	0.19516346416166	0.0398375753025015	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	147.0	hr	NA	2.03848706578878	1.79456734625737	0.24391971953141	0.0497899042545616	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	148.0	hr	NA	2.0383567667933	1.77493291637655	0.26342385041675	0.0537711683000233	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	150.0	hr	NA	1.87222554756117	1.62831397171698	0.24391157584419	0.0497882419313687	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	156.0	hr	NA	1.6	NA	0.176	0.03592584956082	11.0	dimensionless	NA
