study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	0.266460044847882	hr		-4.89808310370601				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	0.487394871742243	hr		2.5489230179785				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	0.724134215239043	hr		1.0303210677285				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	0.96444496898107	hr		3.5116985921323				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	1.22290012879655	hr		-0.351855747866651				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	1.49083799857349	hr		6.4052250689737				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	1.72609951714123	hr		3.2314591981774				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	2.0	hr		4.4711901108882				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	2.24732015948194	hr		0.331911953106401				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	2.51304129186529	hr		4.6062468891272				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	2.75384465391701	hr		7.6393457203798				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	2.99009138910412	hr		5.569022463281				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	3.46664887803326	hr		5.980076730586				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	4.0	hr		6.3908573266079				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	6.0	hr		3.7585500895418				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	8.0	hr		-1.35650302834379				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	12.0	hr		0.2758093400588				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	15.0076816108292	hr		-1.3965958713266				percent	percent
Kubitza2005a		T1.25	8.0	T1.25	factor Xa inhibition		plasma	NR	factor Xa inhibition_T1.25	24.0	hr		4.0688933246443				percent	percent
