study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	0.270031455093108	hr		-0.898103629052271				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	0.476146982004403	hr		16.6179531782643				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	0.744454308013608	hr		23.7888249752413				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	1.03410799410923	hr		28.2009534023327				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	1.25196401906805	hr		32.1997013562122				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	1.5602547195468	hr		30.8186192257497				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	1.79687091096618	hr		29.1620869487875				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	2.0	hr		29.2987857547255				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	2.29588312867853	hr		28.0557707866168				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	2.5134928494825	hr		31.7786580870719				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	2.75355729906969	hr		33.9841749580513				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	3.04161000815882	hr		36.6032091378841				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	3.5206305386364	hr		39.7728699394331				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	4.0	hr		40.7356455135869				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	6.0	hr		30.5171703073499				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	8.0	hr		26.2296991497375				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	12.0	hr		12.9652625619395				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	14.9926160066913	hr		8.3965941608811				percent	percent
Kubitza2005a		T20	7.0	T20	factor Xa inhibition		plasma	NR	factor Xa inhibition_T20	24.0	hr		3.5171720177955				percent	percent
