study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	0.225121997526696	hr		2.1366372298993				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	0.47208296344949	hr		12.0662523967618				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	0.731482289191866	hr		35.9268305615564				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	0.97844325511466	hr		45.8564457284189				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	1.26378661850052	hr		45.4410127205833				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	1.569367973276	hr		41.0254634024524				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	1.76279883621287	hr		44.3346965584126				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	2.0	hr		44.8853231801287				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	2.19210697810459	hr		45.1598154771373				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	2.54715441731108	hr		42.8129473884063				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	2.79079027714349	hr		49.0184437340394				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	2.98114233814482	hr		48.8794187221946				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	3.52826596743654	hr		48.3245501955894				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	4.0	hr		48.735741298536				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	6.0	hr		43.4826210182966				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	8.0	hr		36.7126776511478				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	12.0	hr		21.7928034715202				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	15.0249229016682	hr		17.9136498683812				percent	percent
Kubitza2005a		T40	6.0	T40	factor Xa inhibition		plasma	NR	factor Xa inhibition_T40	24.0	hr		10.8272056622588				percent	percent
