study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	0.755209589441762	hr		9.1680735081066				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	0.970109964542464	hr		9.8564936208935				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	1.27987848995028	hr		10.1305754109773				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	1.5431365807852	hr		11.6463038127541				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	1.78418624699175	hr		14.9552632974311				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	2.0	hr		16.8850563506277				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	2.30626895387442	hr		13.0212283393456				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	2.56965019678676	hr		14.6748870678346				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	2.76332736387847	hr		18.2599808772191				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	3.02683175886823	hr		20.0515699324203				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	3.52695234527737	hr		20.1866267106593				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	4.0	hr		14.9426744184058				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	6.0	hr		13.1378123059713				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	8.0	hr		8.9885451463543				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	12.0	hr		3.0345527099444				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	15.057393999415	hr		0.947946011497599				percent	percent
Kubitza2005a		T5	6.0	T5	factor Xa inhibition		plasma	NR	factor Xa inhibition_T5	24.0	hr		-0.20680996779231				percent	percent
