study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	0.251148136555129	hr		4.6192462750773				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	0.495235554004752	hr		37.9971538186552				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	0.74404380108887	hr		49.9957238862006				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	1.01198167086581	hr		56.752804703041				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	1.24933677474972	hr		55.923854386352				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	1.51394953843628	hr		58.956816381963				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	1.72983513015635	hr		60.7486791084474				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	2.0	hr		61.4366887143094				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	2.30150707354745	hr		61.0212557064739				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	2.51295919048034	hr		57.8476266713191				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	2.75191527137073	hr		58.8117706018887				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	3.03972167630503	hr		61.1549441282971				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	3.48631215972824	hr		54.6696188956337				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	4.0	hr		56.4597027587776				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	6.0	hr		41.2757357909015				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	8.0	hr		35.8848220195914				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	12.0	hr		18.6206796284228				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	15.030711049307	hr		24.3963752238546				percent	percent
Kubitza2005a		T80	6.0	T80	factor Xa inhibition		plasma	NR	factor Xa inhibition_T80	24.0	hr		16.7584833821666				percent	percent
