,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
0,31610099,"Bioequivalence Study of 2 Formulations of Rivaroxaban, a Narrow-Therapeutic-Index Drug, in Healthy Chinese Subjects Under Fasting and Fed Conditions.",S Ding; L Wang; L Xie; S Zhou; J Chen; Y Zhao; W Deng; Y Liu; H Zhang; F Shao,2020,bioequivalence; narrow-therapeutic-index drug; pharmacokinetic; rivaroxaban,0.9992654919624329,,
1,18715524,Dose-escalation study of the pharmacokinetics and pharmacodynamics of rivaroxaban in healthy elderly subjects.,D Kubitza; M Becka; A Roth; W Mueck,2008,,0.9989181756973267,,
2,17595891,"Population model of the pharmacokinetics and pharmacodynamics of rivaroxaban--an oral, direct factor xa inhibitor--in healthy subjects.",W Mueck; M Becka; D Kubitza; B Voith; M Zuehlsdorf,2007,,0.9988715052604675,,
3,25419161,A randomized direct comparison of the pharmacokinetics and pharmacodynamics of apixaban and rivaroxaban.,C Frost; Y Song; YC Barrett; J Wang; J Pursley; RA Boyd; F LaCreta,2014,apixaban; pharmacodynamics; pharmacokinetics; rivaroxaban; safety,0.998711347579956,PMC4235474,"PK - Table 2, Table 3 | Study Population - Table 1"
4,27100875,"Pharmacokinetics, Pharmacodynamics, and Safety of Single-Dose Rivaroxaban in Chronic Hemodialysis.",C Dias; KT Moore; J Murphy; J Ariyawansa; W Smith; RM Mills; MR Weir,2016,,0.9985791444778442,,
5,21039764,"Effects of renal impairment on the pharmacokinetics, pharmacodynamics and safety of rivaroxaban, an oral, direct Factor Xa inhibitor.",D Kubitza; M Becka; W Mueck; A Halabi; H Maatouk; N Klause; V Lufft; DD Wand; T Philipp; H Bruck,2010,,0.9984368681907654,PMC2997310,
6,18766262,Population pharmacokinetics and pharmacodynamics of once- and twice-daily rivaroxaban for the prevention of venous thromboembolism in patients undergoing total hip replacement.,W Mueck; LC Borris; OE Dahl; S Haas; MV Huisman; AK Kakkar; P Kälebo; E Muelhofer; F Misselwitz; BI Eriksson,2008,,0.9984055161476135,,
7,28121368,Pharmacokinetics and pharmacodynamics of single doses of rivaroxaban in obese patients prior to and after bariatric surgery.,D Kröll; G Stirnimann; A Vogt; DLL Lai; YM Borbély; J Altmeier; S Schädelin; D Candinas; L Alberio; PC Nett,2017,Roux-en-Y gastric bypass; anticoagulation; bariatric surgery; pharmacodynamics; rivaroxaban; sleeve gastrectomy,0.998313307762146,PMC5465330,
8,23294275,"Effect of hepatic impairment on the pharmacokinetics and pharmacodynamics of a single dose of rivaroxaban, an oral, direct Factor Xa inhibitor.",D Kubitza; A Roth; M Becka; A Alatrach; A Halabi; H Hinrichsen; W Mueck,2013,,0.9982977509498596,PMC3703231,
9,16308283,"Pharmacokinetics of BAY 59-7939--an oral, direct Factor Xa inhibitor--in rats and dogs.",C Weinz; U Buetehorn; HP Daehler; C Kohlsdorfer; U Pleiss; S Sandmann; KH Schlemmer; T Schwarz; W Steinke,2005,,0.9978214502334595,,
