study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_se	mean_sd	comments	mean_unit	value_unit
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	0.25	hr		1.5497384601266404e-07	0.14307	3.1118180253881806e-08	1.732586950536845e-07	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	0.5	hr		2.7676722951270993e-05	18.166	2.514453625766105e-06	1.399988528952923e-05	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	0.75	hr		8.827103790033955e-05	50.54797	4.974454556609663e-06	2.7696590804808664e-05	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	1.0	hr		0.0001423068046251262	81.49127	8.019598419565637e-06	4.4651234284665503e-05	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	1.5	hr		0.0002629615949343856	150.58364	1.481901969756082e-05	8.250880976415527e-05	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	2.0	hr		0.0003454704046985409	197.83189	1.9468744176118593e-05	0.00010839738001284758	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	2.5	hr		0.00039597712673212815	242.7645	2.8912048788560388e-05	0.00016097547490134898	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	3.0	hr		0.00042393544094704967	242.7645	2.3890587319829774e-05	0.00013301716068642747	no units reported	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	3.5	hr		0.00048591353124713226	259.90511	1.98218193232868e-05	0.00011036321923465174	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	4.0	hr		0.00048591353124713226	259.90511	1.98218193232868e-05	0.00011036321923465174	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	6.0	hr		0.0004538677847113885	242.7645	1.8514579677666537e-05	0.00010308481692208864	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	8.0	hr		0.000174628269248417	93.40505	7.12359096508913e-06	3.966247591080114e-05	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	12.0	hr		7.701211342571351e-05	38.47558	2.022162530761859e-06	1.1258924474626044e-05	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	24.0	hr		3.6360764430577226e-05	19.44862	1.483260093724789e-06	8.258442690648802e-06	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
GenisNajera2022		all	31.0	R20	concentration	rivaroxaban	plasma	HPLC MS/MS	rivaroxaban_R20	48.0	hr		9.946499036432045e-06	4.64159	1.2613329128066464e-07	7.022804441589428e-07	no units reported, SD and SE mixed up	mole/meter^3	ng/ml
