study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Lenard2024	all	12.0	EDO60	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	51.0	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	EDO60	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	7.3	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	EDO60	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	76.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	EDO60	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	594.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	EDO60, CLAR	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	34.0	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	EDO60, CLAR	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	7.2	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	EDO60, CLAR	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	100.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	EDO60, CLAR	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	361.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	48.0	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	5.6	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	70.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	399.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	oral clearance	edoxaban	plasma	HPLC MS/MS	NA	NA	23.0	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	thalf	edoxaban	plasma	HPLC MS/MS	NA	NA	6.3	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	tmax	edoxaban	plasma	HPLC MS/MS	NA	NA	103.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	vd	edoxaban	plasma	HPLC MS/MS	NA	NA	217.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	4.9	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	7.1	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	114.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	vd	apixaban	plasma	HPLC MS/MS	NA	NA	52.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	oral clearance	apixaban	plasma	HPLC MS/MS	NA	NA	3.5	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	thalf	apixaban	plasma	HPLC MS/MS	NA	NA	8.1	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	tmax	apixaban	plasma	HPLC MS/MS	NA	NA	134.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	vd	apixaban	plasma	HPLC MS/MS	NA	NA	43.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	oral clearance	rivaroxaban	plasma	HPLC MS/MS	NA	NA	9.0	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	thalf	rivaroxaban	plasma	HPLC MS/MS	NA	NA	6.3	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	tmax	rivaroxaban	plasma	HPLC MS/MS	NA	NA	55.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50	vd	rivaroxaban	plasma	HPLC MS/MS	NA	NA	85.0	NA	NA	NA	NA	NA	NA	l	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	oral clearance	rivaroxaban	plasma	HPLC MS/MS	NA	NA	6.3	NA	NA	NA	NA	NA	NA	l/hr	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	thalf	rivaroxaban	plasma	HPLC MS/MS	NA	NA	5.7	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	tmax	rivaroxaban	plasma	HPLC MS/MS	NA	NA	55.0	NA	NA	NA	NA	NA	NA	min	NA
Lenard2024	all	12.0	API25, RIV25, EDO50, CLAR	vd	rivaroxaban	plasma	HPLC MS/MS	NA	NA	53.0	NA	NA	NA	NA	NA	NA	l	NA
