study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	raw	mean_unit	value_unit
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.006191950464396	days		1.04049994266713						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.037151702786378	days		1.0790490387188						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.040247678018576	days		1.10078049153385						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.065015479876161	days		1.13932347207889						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.080495356037152	days		1.16995604479609						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.108359133126935	days		1.24899591025494						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.126934984520124	days		1.19074265183656						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.164086687306502	days		1.19077934487635						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.25077399380805	days		1.19975385085808						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.331269349845201	days		1.12872224133318						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.495356037151703	days		1.06073615411077						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	0.622291021671827	days		1.03123189236708						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	1.0	days		1.02172839506173						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	4.0	days								dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.00431241747254	days		1.05795889083096						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.00756390392087	days		1.07870123724402						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.01731836326584	days		1.1409282764832						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.02943892777273	days		1.10932932367555						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.04188769396338	days		1.12019966874528						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.0484517276384	days		1.16958562629277						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.05795431127258	days		1.19921994855629						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.07673813321935	days		1.22984650846837						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.10819969927567	days		1.30097315615531						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.12944885014922	days		1.25061327919278						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.16329178656205	days		1.22988925101323						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.24638024073212	days		1.18153522062022						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.3323080210965	days		1.10058999977102						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.49583641817474	days		1.06116458169551						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.62242304433776	days		1.04147400718991						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_OD5	7.99909172092171	days		0.982400757153652						dimensionless	dimensionless
