study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	raw	mean_unit	value_unit
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.018575851393189	days		1.04940106256928						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.061919504643963	days		1.20648090815273						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.077399380804954	days		1.22032335741314						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.126934984520124	days		1.24901425677483						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.1671826625387	days		1.20856018040745						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.25077399380805	days		1.10987730764821						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.331269349845201	days		1.04180866108627						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.374613003095975	days		1.16135764247219						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.417956656346749	days		1.22065971027787						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.498452012383901	days		1.1397515575431						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.578947368421053	days		1.09933723196881						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.662538699690402	days		1.05102472957994						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.690402476780186	days		1.14092879256966						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.705882352941176	days		1.19032679738562						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.727554179566563	days		1.25948400412797						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.74922600619195	days		1.22987577877155						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.770897832817338	days		1.22989718304476						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.795665634674923	days		1.20029201544165						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.829721362229102	days		1.16081947788862						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	0.913312693498452	days		1.15991438290716						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	1.0030959752322	days		1.09975614417307						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	5.0	days								dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	6.9960463146004	days		1.18832517917522						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.02124151827625	days		1.24858453483136						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.04034590930948	days		1.32069273453063						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.05594693818359	days		1.33946587084119						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.08114214185945	days		1.39972522649732						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.09977331186029	days		1.41059862460597						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.12425868398757	days		1.37900577787615						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.16987108543166	days		1.28125052474106						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.24313638688109	days		1.16178053229734						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.3323156536938	days		1.10157765786119						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.49859941839609	days		1.01869681033759						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.61885862140028	days		0.980237679079814						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	7.99907645572712	days		0.980425440973309						dimensionless	dimensionless
Kubitza2005		TID5	7.0	TID5	prothrombin time (change relative)		plasma	coagulation assay	prothrombin time (change relative)_TID5	9.00356442293748	days		0.961168397994153						dimensionless	dimensionless
