study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.0	days		2.3943661971831				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.05	days		7.04225352112675				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.05	days		17.6056338028169				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.08	days		17.6056338028169				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.11	days		22.887323943662				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.14	days		22.4647887323944				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.16	days		20.1408450704225				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.24	days		20.1408450704225				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.33	days		15.4929577464789				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.5	days		6.83098591549295				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	0.63	days		4.92957746478872				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	1.0	days		1.33802816901407				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	5.0	days						percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.0	days		-6.26760563380282				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.01	days		-4.15492957746479				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.01	days		0.492957746478865				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.03	days		5.77464788732394				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.04	days		5.56338028169013				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.05	days		9.36619718309859				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.06	days		11.9014084507042				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.07	days		16.5492957746479				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.1	days		14.8591549295775				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.12	days		20.1408450704225				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.17	days		14.225352112676				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.25	days		7.67605633802816				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.33	days		4.92957746478872				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.5	days		-8.80281690140846				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	7.61	days		-8.16901408450705				percent	percent
Kubitza2005		OD5	7.0	OD5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_OD5	8.0	days		-5.21126760563381				percent	percent
