study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	raw	mean_unit	value_unit
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.0	days		1.009375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.016624540441177	days		1.0390625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.036908318014706	days		1.08046875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.03662109375	days		1.11953125						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.056847426470588	days		1.16875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.083386948529412	days		1.159375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.094852941176471	days		1.2						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.118244485294118	days		1.21875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.159346277573529	days		1.22890625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.245122931985294	days		1.16328125						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.336098345588235	days		1.190625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.501683134191176	days		1.07109375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.622420726102941	days		1.05078125						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	0.999046415441177	days		1.0296875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	4.0	days								dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	6.99706314243759	days		1.009375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.00293685756241	days		1.05						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.03817914831131	days		1.06015625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.05286343612335	days		1.08046875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.06167400881057	days		1.09921875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.07342143906021	days		1.140625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.09985315712188	days		1.17890625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.12628487518355	days		1.1796875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.15565345080764	days		1.20859375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.25256975036711	days		1.1390625						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.32599118942731	days		1.10859375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.49632892804699	days		1.03984375						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.62555066079295	days		1.0296875						dimensionless	dimensionless
Kubitza2005		OD5	7.0	OD5	aPTT (change relative)		plasma	coagulation assay	aPTT (change relative)_OD5	7.99559471365639	days		1.021875						dimensionless	dimensionless
