study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	mean_unit	value_unit
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.0	days		-2.46				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.05	days		0.07				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.07	days		14.86				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.08	days		21.41				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.12	days		21.83				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.17	days		18.66				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.24	days		12.11				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.34	days		5.14				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.37	days		14.01				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.42	days		20.56				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.5	days		18.45				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.59	days		8.94				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.67	days		11.69				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.69	days		17.61				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.71	days		25.63				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.73	days		28.17				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.75	days		22.25				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.78	days		22.68				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.8	days		26.9				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.84	days		22.68				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	0.93	days		18.03				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	1.0	days		4.72				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	4.0	days						percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.0	days		7.25				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.02	days		25.85				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.04	days		24.79				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.06	days		25.42				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.08	days		26.48				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.0	days		29.01				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.12837837837838	days		24.58				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.16216216216216	days		23.52				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.25675675675676	days		13.8				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.33783783783784	days		4.72				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.5	days		-9.23				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	7.62162162162162	days		-7.75				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	8.0	days		-10.92				percent	percent
Kubitza2005		TID5	7.0	TID5	factor Xa inhibition		plasma	coagulation assay	factor Xa inhibition_TID5	9.0	days		-14.51				percent	percent
