study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Rohr2024	all	8.0	API25, RIV25, EDO50	cmax	apixaban	plasma	LC MS/MS	24.0	hr	671.0	NA	NA	556.0	810.0	NA	NA	pg/ml	NA
Rohr2024	all	8.0	API25, RIV25, EDO50	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	90.0	60.0	240.0	NA	NA	min	NA
Rohr2024	all	8.0	API25, RIV25, EDO50	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	6230.0	NA	NA	5360.0	7241.0	NA	NA	pg*hr/ml	NA
Rohr2024	all	8.0	API25, RIV25, EDO50	oral clearance	apixaban	plasma	LC MS/MS	NA	NA	66.9	NA	NA	57.5	77.7	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50	clearance_renal	apixaban	urine	LC MS/MS	NA	NA	13.1	NA	NA	10.3	16.7	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50	clearance	apixaban	urine	LC MS/MS	NA	NA	53.9	NA	NA	42.7	68.1	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50	recovery	apixaban	urine	LC MS/MS	24.0	hr	17.7	NA	NA	12.7	24.6	8.03174505144608	NA	percent	confidence interval
Rohr2024	all	8.0	API25, RIV25, EDO50	vd	apixaban	plasma	LC MS/MS	NA	NA	38.5	NA	NA	30.6	48.4	NA	NA	l	NA
Rohr2024	all	8.0	API25, RIV25, EDO50	thalf	apixaban	plasma	LC MS/MS	NA	NA	6.65	NA	NA	5.33	8.3	NA	NA	hr	NA
Rohr2024	all	8.0	API25, RIV25, EDO50, RITx5	cmax	apixaban	plasma	LC MS/MS	24.0	hr	906.0	NA	NA	747.0	1099.0	NA	NA	pg/ml	NA
Rohr2024	all	8.0	API25, RIV25, EDO50, RITx5	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	60.0	30.0	150.0	NA	NA	min	NA
Rohr2024	all	8.0	API25, RIV25, EDO50, RITx5	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	8074.0	NA	NA	6592.0	9889.0	NA	NA	pg*hr/ml	NA
Rohr2024	all	8.0	API25, RIV25, EDO50, RITx5	oral clearance	apixaban	plasma	LC MS/MS	NA	NA	51.6	NA	NA	42.13	63.1	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50, RITx5	clearance_renal	apixaban	urine	LC MS/MS	NA	NA	11.6	NA	NA	9.27	14.4	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50, RITx5	clearance	apixaban	urine	LC MS/MS	NA	NA	40.7	NA	NA	30.4	54.6	NA	NA	ml/min	NA
Rohr2024	all	7.0	API25, RIV25, EDO50, RITx5	recovery	apixaban	urine	LC MS/MS	24.0	hr	16.5	NA	NA	10.52	26.0	10.4480179324694	NA	percent	confidence interval
