study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Lenard2025	all	11.0	EDO60	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	75.0	NA	NA	NA	NA	NA	NA	μg*min/ml	NA
Lenard2025	all	11.0	EDO60	cmax	edoxaban	plasma	HPLC MS/MS	48.0	hr	227.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Lenard2025	all	11.0	EDO60, GAB	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	73.0	NA	NA	NA	NA	NA	NA	μg*min/ml	NA
Lenard2025	all	11.0	EDO60, GAB	cmax	edoxaban	plasma	HPLC MS/MS	48.0	hr	182.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	50.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	cmax	edoxaban	plasma	HPLC MS/MS	24.0	hr	112.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	auc_inf	edoxaban	plasma	HPLC MS/MS	NA	NA	56.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	cmax	edoxaban	plasma	HPLC MS/MS	24.0	hr	118.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	417.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	cmax	apixaban	plasma	HPLC MS/MS	24.0	hr	822.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	auc_inf	apixaban	plasma	HPLC MS/MS	NA	NA	389.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	cmax	apixaban	plasma	HPLC MS/MS	24.0	hr	775.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	auc_inf	rivaroxaban	plasma	HPLC MS/MS	NA	NA	194.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50	cmax	rivaroxaban	plasma	HPLC MS/MS	24.0	hr	718.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	auc_inf	rivaroxaban	plasma	HPLC MS/MS	NA	NA	179.0	NA	NA	NA	NA	NA	NA	ng*min/ml	NA
Lenard2025	all	11.0	API25, RIV25, EDO50, GAB	cmax	rivaroxaban	plasma	HPLC MS/MS	24.0	hr	688.0	NA	NA	NA	NA	NA	NA	pg/ml	NA
