study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Jiang2010	T5	19.0	P	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	6.83	-6.76	15.77	NA	NA	percent	NA
Jiang2010	T5	19.0	P	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.03	0.95	1.14	NA	NA	dimensionless	NA
Jiang2010	T5	19.0	P	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.01	0.88	2.3	NA	NA	dimensionless	NA
Jiang2010	T5	19.0	P	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.02	0.9	1.8	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T5	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	31.91	19.31	45.69	NA	NA	percent	NA
Jiang2010	T5	12.0	T5	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.28	1.07	1.47	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T5	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.26	1.12	1.41	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T5	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.51	0.9	1.8	NA	NA	dimensionless	NA
Jiang2010	T5	11.0	T10	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	52.07	39.45	59.94	NA	NA	percent	NA
Jiang2010	T5	11.0	T10	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.61	1.38	1.86	NA	NA	dimensionless	NA
Jiang2010	T5	11.0	T10	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.31	1.03	1.48	NA	NA	dimensionless	NA
Jiang2010	T5	11.0	T10	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.87	1.6	2.0	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T20	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	51.65	41.06	62.97	NA	NA	percent	NA
Jiang2010	T5	12.0	T20	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.06	1.59	3.1	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T20	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.61	1.31	1.95	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T20	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.41	2.0	2.6	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T30	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	67.03	47.62	76.34	NA	NA	percent	NA
Jiang2010	T5	12.0	T30	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.56	1.56	3.51	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T30	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.65	1.31	2.08	NA	NA	dimensionless	NA
Jiang2010	T5	12.0	T30	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.53	1.9	3.3	NA	NA	dimensionless	NA
Jiang2010	T5	10.0	T40	Xa_inhibition	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	65.61	58.9	75.16	NA	NA	percent	NA
Jiang2010	T5	10.0	T40	PT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.8	2.08	3.48	NA	NA	dimensionless	NA
Jiang2010	T5	10.0	T40	aPTT	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	1.85	1.58	2.06	NA	NA	dimensionless	NA
Jiang2010	T5	10.0	T40	HepTest	rivaroxaban	plasma	coagulation assay	NA	NA	NA	NA	2.78	2.4	3.1	NA	NA	dimensionless	NA
