study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Kubitza2005a	T1.25	8.0	T1.25	auc_inf	rivaroxaban	plasma	HPLC MS	NA	NA	119.0	24.5	NA	94.0	189.0	29.155	NA	µg/l*hr	unclear if infinity or end
Kubitza2005a	T1.25	8.0	T1.25	cmax	rivaroxaban	plasma	HPLC MS	NA	NA	23.0	22.4	NA	17.0	33.0	5.152	NA	µg/l	NA
Kubitza2005a	T1.25	8.0	T1.25	thalf	rivaroxaban	plasma	HPLC MS	NA	NA	3.93	35.5	NA	2.94	7.53	1.39515	NA	hr	NA
Kubitza2005a	T1.25	8.0	T1.25	vd	rivaroxaban	plasma	HPLC MS	NA	NA	0.77	40.7	NA	0.46	1.65	0.31339	NA	l	volume of distribution
Kubitza2005a	T1.25	8.0	T1.25	oral-clearance	rivaroxaban	plasma	HPLC MS	NA	NA	10.5	24.5	NA	6.6	13.4	2.5725	NA	l/hr	NA
Kubitza2005a	T1.25	8.0	T1.25	recovery	rivaroxaban	urine	HPLC MS	48.0	hr	41.8	10.3	NA	30.5	64.9	4.3054	NA	percent	NA
Kubitza2005a	T1.25	8.0	T1.25	tmax	rivaroxaban	plasma	HPLC MS	NA	NA	NA	NA	3.0	2.5	4.0	NA	NA	hr	NA
Kubitza2005a	T5	6.0	T5	auc_inf	rivaroxaban	plasma	HPLC MS	NA	NA	446.0	23	NA	348.0	677.0	NA	NA	µg/l*hr	NA
Kubitza2005a	T5	6.0	T5	cmax	rivaroxaban	plasma	HPLC MS	NA	NA	72.0	19.7	NA	55.0	96.0	NA	NA	µg/l	NA
Kubitza2005a	T5	6.0	T5	thalf	rivaroxaban	plasma	HPLC MS	NA	NA	4.27	25.3	NA	3.29	6.14	NA	NA	hr	NA
Kubitza2005a	T5	6.0	T5	vd	rivaroxaban	plasma	HPLC MS	NA	NA	0.82	30.7	NA	0.58	1.14	NA	NA	l	NA
Kubitza2005a	T5	6.0	T5	oral-clearance	rivaroxaban	plasma	HPLC MS	NA	NA	11.2	23	NA	7.4	14.4	NA	NA	l/hr	NA
Kubitza2005a	T5	6.0	T5	tmax	rivaroxaban	plasma	HPLC MS	NA	NA	NA	NA	1.88	0.5	4.0	NA	NA	hr	NA
Kubitza2005a	T10	8.0	T10	auc_inf	rivaroxaban	plasma	HPLC MS	NA	NA	1020.0	14.9	NA	797.0	1217.0	NA	NA	µg/l*hr	NA
Kubitza2005a	T10	8.0	T10	cmax	rivaroxaban	plasma	HPLC MS	NA	NA	141.0	15.5	NA	112.0	184.0	NA	NA	µg/l	NA
Kubitza2005a	T10	8.0	T10	thalf	rivaroxaban	plasma	HPLC MS	NA	NA	9.07	61/8	NA	4.37	31.7	NA	NA	hr	NA
Kubitza2005a	T10	8.0	T10	vd	rivaroxaban	plasma	HPLC MS	NA	NA	1.49	66.3	NA	0.8	5.5	NA	NA	l	NA
Kubitza2005a	T10	8.0	T10	oral-clearance	rivaroxaban	plasma	HPLC MS	NA	NA	9.8	14.9	NA	8.2	12.5	NA	NA	l/hr	NA
Kubitza2005a	T10	8.0	T10	tmax	rivaroxaban	plasma	HPLC MS	NA	NA	NA	NA	2.0	0.5	2.5	NA	NA	hr	NA
Kubitza2005a	T15	7.0	T15	cmax	rivaroxaban	plasma	HPLC MS	NA	NA	176.0	39	NA	NA	NA	NA	NA	µg/l	NA
